samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
266,1.73182275123408,0.86773060147836,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7578.62234309304,-7201.5778595732,-377.044483519846
271,1.73182275123408,0.86773060147836,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7571.36903885811,-7195.69325595711,-375.675782901004
276,1.73182275123408,0.86773060147836,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7564.99498839418,-7188.5672178126,-376.427770581587
281,1.73182275123408,0.86773060147836,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7555.1059024398,-7180.74466999506,-374.361232444743
286,1.73182275123408,0.86773060147836,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7554.88062863003,-7182.01488983837,-372.865738791658
291,1.7194201535637,0.86773060147836,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7554.31353390411,-7180.68890820941,-373.624625694701
296,1.7194201535637,0.86773060147836,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7561.55740532146,-7185.16019090452,-376.397214416941
301,1.7194201535637,0.86773060147836,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7557.44694860536,-7178.18524410389,-379.261704501465
306,1.7194201535637,0.86773060147836,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.129373065726738,1,8,1.20619960231462,0,1,10,0,-7550.35108690383,-7173.86197112461,-376.489115779225
311,1.65826870550399,0.842608887018321,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.129373065726738,1,8,1.20619960231462,0,1,10,0,-7549.6184401218,-7173.45665481924,-376.161785302562
316,1.65826870550399,0.842608887018321,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.110233647632086,1,8,1.20619960231462,0,1,10,0,-7537.20044684479,-7162.43003810448,-374.770408740311
321,1.64153782228005,0.882897579819592,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.110233647632086,1,8,1.20619960231462,0,1,10,0,-7533.77833939284,-7161.20051485031,-372.577824542531
326,1.64153782228005,0.882897579819592,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.110233647632086,1,8,1.20619960231462,0,1,10,0,-7534.28988086961,-7162.26636706278,-372.023513806825
331,1.64153782228005,0.882897579819592,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.110233647632086,1,8,1.20619960231462,0,1,10,0,-7535.36200082865,-7159.94544580825,-375.416555020399
336,1.64153782228005,0.894631374227657,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.110233647632086,1,8,1.20619960231462,0,1,10,0,-7526.32550737634,-7145.68628260773,-380.639224768607
341,1.64153782228005,0.894631374227657,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.110233647632086,1,8,1.20619960231462,0,1,10,0,-7522.96025202595,-7144.61746139648,-378.342790629475
346,1.64153782228005,0.894631374227657,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.110233647632086,1,8,1.20619960231462,0,1,10,0,-7522.96025202595,-7144.61746139648,-378.342790629475
351,1.64153782228005,0.894631374227657,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7520.33406702554,-7138.83427597491,-381.499791050625
356,1.64153782228005,0.894631374227657,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7502.16665777882,-7124.12309481516,-378.04356296366
361,1.64153782228005,0.894631374227657,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7502.14791431114,-7122.41487072738,-379.733043583768
366,1.64153782228005,0.894631374227657,0,0,0.025,0.0836245920541499,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7501.8692330183,-7120.97158619165,-380.897646826654
371,1.64153782228005,0.894631374227657,0,0,0.025,0.0836245920541499,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7501.65603442412,-7119.31958773897,-382.336446685152
376,1.64153782228005,0.894631374227657,0,0,0.025,0.0836245920541499,0,0.0912201663651026,0.121842426623503,1,8,1.20619960231462,0,1,10,0,-7495.47303297356,-7109.75645793791,-385.716575035644
