samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,exponential_waning,posterior_prob,likelihood,prior_prob
541,1.90356749667368,0.868197571529331,0,0,0.025,0.121636218389108,0,0.0939017986253775,0.181977979911356,1,8,1.10427200088477,0,1,10,0,0,-10026.7696500939,-9117.23460939167,-909.535040702253
551,1.90356749667368,0.868197571529331,0,0,0.025,0.121636218389108,0,0.0939017986253775,0.181977979911356,1,8,1.10427200088477,0,1,10,0,0,-10023.2924963032,-9111.47431537738,-911.818180925793
561,1.90356749667368,0.868197571529331,0,0,0.025,0.121636218389108,0,0.0939017986253775,0.161547311642636,1,8,1.10427200088477,0,1,10,0,0,-10033.1230135939,-9114.74989756882,-918.373116025094
571,1.90356749667368,0.868197571529331,0,0,0.025,0.121636218389108,0,0.0939017986253775,0.161547311642636,1,8,1.10427200088477,0,1,10,0,0,-10009.8505755176,-9094.40982030059,-915.440755217017
581,1.90356749667368,1.03329093608179,0,0,0.025,0.172640623128798,0,0.0939017986253775,0.161547311642636,1,8,1.10427200088477,0,1,10,0,0,-10008.3930972536,-9084.28739665616,-924.105700597482
591,1.90356749667368,1.03329093608179,0,0,0.025,0.172640623128798,0,0.0939017986253775,0.169154535430517,1,8,1.10427200088477,0,1,10,0,0,-10000.6397860765,-9076.57068730719,-924.069098769274
601,1.90356749667368,1.03329093608179,0,0,0.025,0.172640623128798,0,0.0939017986253775,0.212417559289106,1,8,1.10427200088477,0,1,10,0,0,-9986.27322286524,-9059.56987528779,-926.703347577447
611,1.90356749667368,1.03329093608179,0,0,0.025,0.172640623128798,0,0.0939017986253775,0.245481881015057,1,8,1.10427200088477,0,1,10,0,0,-9980.77877020759,-9054.48391520311,-926.294855004477
621,1.91218389927741,1.03329093608179,0,0,0.025,0.172640623128798,0,0.0939017986253775,0.238309360069304,1,8,1.10427200088477,0,1,10,0,0,-9959.72465678613,-9027.949149012,-931.775507774133
631,1.91218389927741,1.03329093608179,0,0,0.025,0.172640623128798,0,0.0939017986253775,0.264825055059887,1,8,1.10427200088477,0,1,10,0,0,-9955.77439311626,-9025.36299611315,-930.411397003112
641,1.91218389927741,1.43323692570284,0,0,0.025,0.172640623128798,0,0.0939017986253775,0.269512547044691,1,8,1.10427200088477,0,1,10,0,0,-9953.14148519796,-9024.43987778243,-928.701607415539
651,1.91218389927741,1.23518133101,0,0,0.025,0.172640623128798,0,0.0939017986253775,0.277226081728708,1,8,1.10427200088477,0,1,10,0,0,-9942.23057965928,-9012.99312643467,-929.237453224609
661,1.91218389927741,1.23518133101,0,0,0.025,0.179736001271542,0,0.0939017986253775,0.277226081728708,1,8,1.08842317571212,0,1,10,0,0,-9928.22039651868,-8998.14545077959,-930.074945739093
671,1.91218389927741,1.23518133101,0,0,0.025,0.181711824328187,0,0.0939017986253775,0.277226081728708,1,8,1.08842317571212,0,1,10,0,0,-9911.88770497487,-8977.6867169503,-934.200988024567
681,1.90465968962973,1.23518133101,0,0,0.025,0.181711824328187,0,0.0939017986253775,0.277226081728708,1,8,1.08842317571212,0,1,10,0,0,-9913.17898464628,-8977.55752257755,-935.62146206873
691,1.90465968962973,1.23518133101,0,0,0.025,0.181711824328187,0,0.0939017986253775,0.304235372725166,1,8,1.08842317571212,0,1,10,0,0,-9909.18506141873,-8974.93590232326,-934.249159095464
701,1.90465968962973,1.23518133101,0,0,0.025,0.181711824328187,0,0.0939017986253775,0.297213475052361,1,8,1.08842317571212,0,1,10,0,0,-9914.29253854541,-8976.81663882849,-937.475899716915
711,1.90465968962973,1.23518133101,0,0,0.025,0.181711824328187,0,0.0939017986253775,0.290970822978283,1,8,1.08842317571212,0,1,10,0,0,-9914.4297104626,-8972.32037527203,-942.109335190567
721,1.90465968962973,1.29517227155059,0,0,0.025,0.195338437245319,0,0.0939017986253775,0.290970822978283,1,8,1.08842317571212,0,1,10,0,0,-9896.38139918761,-8957.52243239483,-938.85896679278
